,R-001,R-002,R-003,R-005,R-007,R-008,R-012,R-013,R-014,R-015,R-016,R-017,R-018,R-019,R-020,R-021,R-022,R-023,R-024,R-025,R-026,R-027,R-028,R-043,R-057,R-058,R-059,R-060,R-061,R-062,R-063,R-064,R-066,R-067,R-068,R-069,R-070,R-071,R-072,R-073,R-074,R-075,R-076,R-077,R-078,R-079,R-080,R-083,R-084,R-141,R-142,R-143,R-144,R-145,R-146,R-147,R-148,R-149,R-150,R-152,R-153,R-154,R-155,R-156,R-157,R-158,R-159,R-160,R-161,R-162,R-163,R-164,R-165,R-167,R-197,R-198,R-200,R-201,R-202,R-203,R-204,R-205,R-206,R-207,R-208,R-209,R-210,R-211,R-212,R-213,R-214,R-215,R-216,R-217,R-218,R-219,R-220,R-221,R-222,R-223,R-224,R-281,R-282,R-283,R-284,R-285,R-286,R-287,R-288,R-289,R-291,R-292,R-293,R-294,R-295,R-296,R-297,R-298,R-301,R-302,R-303,R-304,R-305,R-306,R-307,R-308,R-337,R-338,R-340,R-341,R-342,R-343,R-344,R-345,R-346,R-347,R-348,R-350,R-351,R-352,R-354,R-355,R-356,R-357,R-360,R-361,R-363,R-364
R-080,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,1,1,0.72,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,0.98,1,1,1,1,0.98,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,1,1,1,1,-0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1
R-083,1,1,1,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.58,1,1,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,-0.06,1,1,1,0.97,1,1,0.72,0.99,1,1,1,0.78,-0.57,1,1,1,1,1,1,1,1,1,1,0.32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.53,0.97,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1
R-084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
R-141,1,1,1,0.82,1,1,-1,1,1,1,1,0.9,0.46,1,0.19,-1,1,1,1,0.99,1,0.99,1,1,0.63,1,1,1,0.98,1,1,1,1,1,0.88,-0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.99,1,1,1,1,1,1,-0.87,1,1,1,-0.23,1,1,1,1,1,1,1,0.87,1,0.71,1,1,1,0.6,1,1,1,-1,0.8,1,1,1,1,0.99,1,1,1,-0.89,1,1,0.75,0.89,1,-0.43,1,1,1,1,1,0.99,1,1,0.95,1,1,1,1,1,1,1,0.86,1,0.86,0.02,1,0.9,-0.81,1,1,1,1,0.16,1,1,1,-1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,0.93,1,1,1,1,1
R-142,1,1,0.98,1,1,1,1,1,1,-0.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,0,1,1,1,1,1,1,1,1,0.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,1,1,1,-0.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.93,1,1,1,1,1,1,1
R-143,0.54,1,1,-1,1,1,0.83,0.74,1,0.98,1,-0.99,0.77,0.99,1,1,1,-0.97,-0.69,-0.3,1,-0.44,1,0.92,1,-0.98,0.42,1,-0.78,0.94,-0.9,-0.13,-0.97,1,0.71,0.84,1,1,1,0.94,0.99,-0.13,-1,-0.14,1,1,1,0.58,1,0.99,1,0,1,0.96,0.61,1,0.45,-1,1,-0.05,1,0.36,0.76,-0.94,1,1,0.74,-1,1,1,0.99,1,1,1,1,0.95,-0.79,1,0.97,1,1,-1,1,0.84,1,1,1,1,-1,-1,0.99,-0.95,1,-0.82,-1,0.98,0.91,1,1,0.96,0.91,1,0.96,1,1,-1,0.99,-0.95,-1,1,0.67,1,1,0.31,0.99,1,0.96,1,0.76,-0.72,1,1,1,1,-0.64,0.95,1,-0.93,-0.26,-0.99,1,0.99,1,0.98,1,-0.92,1,-0.99,0.99,1,1,1,-0.33,1,1,1,-0.07,1
R-144,1,1,1,1,1,1,1,1,1,0.6,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.86,1,1,1,1,1,1,0,1,1,1,1,1,1,0.88,1,1,1,1,1,1,1,1,0.95,1,1,1,1,0.99,1,1,1,1,1,1,1,0.93,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.67,1,0.75,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.73,1,1,1,1,1,1,1,1,1,0.36,1,1,0.95,1,1,1,1
R-145,1,1,1,0.51,1,1,0.93,0.63,1,1,1,1,1,1,0.97,1,1,-0.07,0.99,-0.99,0.96,-0.43,1,1,1,1,0.96,1,0.48,1,0.97,0.99,1,1,1,0.99,1,1,1,-0.98,1,1,1,-0.08,1,1,1,1,1,1,1,0.96,1,0,1,1,0.83,0.46,1,1,1,0.86,1,0.95,1,1,0.02,0.94,1,1,1,1,1,1,1,0.77,0.76,1,1,1,1,0.6,1,1,1,1,1,1,0.98,0.98,1,1,1,-0.43,0.77,0.24,1,1,1,0.99,1,1,0.01,1,1,0.92,1,1,1,1,1,1,1,1,1,1,1,1,-0.92,0.63,1,1,1,1,0.87,0.89,1,0.67,-1,0.72,1,1,1,1,1,0.97,1,1,1,1,1,1,1,0.99,1,1,0.99,1
R-146,1,1,1,0.39,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.61,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.64,1,0.84,1,1,1,1,0.39,1,1,1,1,0.95,0.9,1,1,1,1,1,1,1,1,1,1,0.53,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.49,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1
R-147,0.99,1,1,1,0.98,0.92,1,0.94,1,1,1,1,1,1,1,0.99,1,1,1,0.98,1,1,1,1,1,1,1,1,0.99,0.98,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.95,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.53,1,1,1,1,1,1,1,0.93,0.99,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,0.98,0.99,1,1,1,1,1,0.99,1,1,1,0.97,1,1,1,1,1,1,0.99,1,1,1,0.96,1,1,1,1,1,1,1,0.95
